Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
52365,0.73,Very Good,F,VS2,58.9,60.0,2503,5.9,5.81,3.45
26116,2.0,Good,E,SI2,64.7,57.0,15393,7.75,7.86,5.05
27517,3.01,Fair,I,SI2,65.8,56.0,18242,8.99,8.94,5.9
24122,2.12,Ideal,I,SI1,62.2,57.0,12284,8.21,8.14,5.08
13073,1.18,Ideal,I,SI1,61.3,55.6,5412,6.79,6.84,4.18
13405,0.32,Premium,F,VS2,59.5,60.0,602,4.46,4.48,2.66
45262,0.54,Ideal,D,SI1,61.5,56.0,1662,5.23,5.25,3.22
24827,1.73,Premium,H,VS2,59.2,61.0,13221,7.82,7.78,4.62
51374,0.55,Premium,D,VVS2,61.2,57.0,2366,5.3,5.26,3.23
36233,0.38,Ideal,D,VS2,62.0,56.0,933,4.64,4.68,2.89
36032,0.41,Premium,G,SI1,61.7,59.0,923,4.73,4.71,2.91
37831,0.33,Ideal,D,VS2,61.8,56.0,1002,4.48,4.45,2.76
14703,0.3,Ideal,G,VS1,61.5,57.0,605,4.31,4.34,2.66
17547,1.01,Premium,G,VS1,60.7,58.0,7059,6.52,6.49,3.95
2180,0.75,Ideal,E,VS2,60.2,57.0,3136,5.93,5.9,3.56
37199,0.35,Ideal,G,IF,61.8,56.0,974,4.52,4.57,2.81
9056,0.34,Ideal,I,SI1,62.8,57.0,589,4.45,4.43,2.79
14228,1.0,Good,G,VS2,59.3,61.0,5766,6.51,6.57,3.88
31883,0.3,Premium,G,VS1,59.6,59.0,776,4.38,4.34,2.6
35674,0.4,Ideal,D,VS2,62.2,55.0,909,4.72,4.74,2.94
11659,1.07,Premium,H,SI1,62.2,57.0,5055,6.57,6.48,4.06
36831,0.3,Ideal,E,IF,61.3,58.0,957,4.28,4.33,2.64
4412,0.72,Very Good,H,VVS1,59.9,57.0,3610,5.83,5.86,3.5
36029,0.41,Premium,G,SI1,59.1,58.0,923,4.88,4.83,2.87
6096,1.06,Ideal,I,SI2,62.4,57.0,3975,6.48,6.54,4.06
52924,0.58,Ideal,D,VS2,61.5,56.0,2590,5.37,5.4,3.31
50092,0.57,Ideal,G,VVS2,60.7,55.0,2206,5.36,5.34,3.25
36402,0.31,Premium,D,VS2,62.6,59.0,942,4.33,4.3,2.7
40620,0.26,Very Good,F,VS1,60.4,56.0,499,4.14,4.16,2.51
50032,0.54,Very Good,F,VVS2,60.2,59.0,2198,5.27,5.3,3.18
37593,0.24,Very Good,E,VVS2,63.9,53.0,485,3.93,3.96,2.52
5612,0.89,Ideal,E,SI2,61.8,56.0,3872,6.15,6.19,3.81
24131,1.59,Very Good,H,VVS2,63.0,58.0,12297,7.43,7.48,4.7
32519,0.4,Very Good,D,SI2,63.4,59.0,798,4.7,4.67,2.97
5318,0.9,Ideal,G,SI2,62.7,53.0,3805,6.18,6.22,3.89
33733,0.39,Ideal,E,VS2,60.9,55.0,839,4.73,4.76,2.89
9737,1.16,Very Good,I,SI1,61.5,60.4,4657,6.71,6.76,4.14
38259,0.3,Ideal,G,SI2,61.7,57.0,382,4.26,4.3,2.64
26690,0.28,Very Good,H,VS2,61.6,57.0,429,4.22,4.25,2.61
45665,0.52,Ideal,G,VS1,62.8,55.0,1694,5.16,5.13,3.23
26863,1.69,Ideal,F,VS2,62.2,57.0,16789,7.59,7.66,4.74
9173,1.0,Good,D,SI2,62.2,61.0,4543,6.3,6.36,3.94
17221,1.21,Ideal,E,SI1,62.0,56.0,6887,6.83,6.76,4.21
7507,1.08,Good,G,SI2,63.2,57.0,4241,6.5,6.54,4.12
3914,0.72,Very Good,E,VVS2,61.3,60.0,3495,5.73,5.76,3.52
47616,0.71,Good,J,VS1,63.3,55.0,1881,5.62,5.66,3.57
49115,0.62,Premium,F,VS2,61.4,59.0,2065,5.5,5.47,3.37
2408,0.72,Ideal,D,VS2,60.8,56.0,3179,5.8,5.84,3.54
14876,0.92,Ideal,G,VS2,62.0,57.0,5989,6.21,6.24,3.86
29581,0.41,Very Good,E,SI1,62.8,58.0,705,4.72,4.77,2.98
52784,0.72,Very Good,E,SI1,62.9,54.0,2567,5.72,5.76,3.61
42694,0.54,Ideal,H,VS2,60.1,57.0,1338,5.28,5.33,3.19
26832,2.01,Premium,H,SI1,60.9,59.0,16733,8.15,8.04,4.93
34548,0.36,Premium,F,VS2,58.5,58.0,869,4.69,4.65,2.73
35478,0.39,Ideal,F,VS1,61.3,56.0,902,4.7,4.72,2.89
49788,0.71,Ideal,J,VVS2,60.5,58.0,2162,5.77,5.8,3.5
35795,0.31,Ideal,D,VS1,60.1,57.0,913,4.39,4.4,2.64
48166,0.51,Good,F,VVS2,60.2,62.0,1942,5.16,5.21,3.12
35107,0.3,Ideal,F,IF,62.5,54.0,886,4.31,4.33,2.7
31684,0.26,Ideal,E,VVS1,61.7,57.0,769,4.1,4.07,2.52
31844,0.41,Ideal,J,VVS1,62.0,57.0,775,4.73,4.79,2.95
32481,0.3,Ideal,E,VS2,61.8,55.0,795,4.34,4.36,2.69
49998,0.58,Premium,E,VS2,59.6,59.0,2192,5.43,5.38,3.22
40430,0.4,Ideal,J,VVS1,61.9,56.0,1136,4.74,4.79,2.95
31049,0.42,Very Good,G,SI1,62.0,54.0,751,4.8,4.82,2.98
16645,1.1,Ideal,G,VS2,62.0,56.0,6653,6.68,6.6,4.12
9837,1.01,Premium,D,SI2,58.3,59.0,4672,6.67,6.63,3.88
42055,0.38,Ideal,D,VVS1,60.7,57.0,1270,4.69,4.74,2.86
8533,0.9,Ideal,H,VS1,62.2,58.0,4428,6.14,6.17,3.83
19344,1.06,Ideal,G,VVS2,61.0,57.0,8044,6.57,6.55,4.0
46137,0.54,Ideal,G,VS1,62.0,53.9,1745,5.22,5.24,3.24
209,0.73,Very Good,H,VS2,60.8,56.0,2779,5.82,5.84,3.55
23012,0.35,Premium,E,SI2,61.0,58.0,630,4.56,4.52,2.77
28548,0.3,Premium,I,VVS2,61.0,60.0,675,4.36,4.3,2.64
13201,1.08,Ideal,I,VS2,61.8,54.0,5455,6.6,6.57,4.07
27585,2.0,Premium,E,SI2,61.8,56.0,18426,8.12,8.05,5.0
16942,1.04,Premium,E,VS1,58.6,59.0,6765,6.68,6.64,3.9
25604,2.08,Premium,H,SI2,58.8,60.0,14462,8.39,8.35,4.92
10126,1.01,Very Good,D,SI2,61.5,56.0,4719,6.39,6.46,3.95
14569,1.04,Ideal,F,SI1,61.3,56.0,5882,6.55,6.5,4.0
43719,0.52,Very Good,E,SI1,59.3,59.0,1438,5.26,5.3,3.13
45219,0.51,Ideal,E,VS2,62.2,57.0,1656,5.08,5.11,3.17
23667,1.53,Ideal,F,SI1,60.3,57.0,11713,7.45,7.52,4.51
40339,0.45,Very Good,E,VS2,61.8,58.0,1129,4.9,4.94,3.04
52811,0.71,Premium,I,VVS1,63.0,58.0,2572,5.68,5.66,3.57
14047,0.26,Ideal,G,IF,62.5,57.0,605,4.06,4.1,2.55
10903,1.18,Ideal,E,SI2,60.8,57.0,4885,6.89,6.83,4.17
34677,0.41,Good,D,VS2,63.8,55.0,873,4.7,4.73,3.01
41872,0.38,Premium,F,VVS1,59.2,58.0,1257,4.8,4.76,2.83
38614,0.28,Very Good,E,VS1,61.8,55.0,489,4.21,4.24,2.61
14649,1.0,Very Good,G,VVS2,63.5,55.0,5914,6.36,6.3,4.02
13070,1.23,Premium,J,VS1,62.7,58.0,5412,6.79,6.82,4.27
37504,0.43,Good,F,SI1,63.7,57.0,984,4.79,4.73,3.04
47807,0.57,Very Good,F,VVS2,62.6,58.0,1902,5.32,5.38,3.34
42428,0.51,Ideal,H,VS2,61.2,53.0,1312,5.22,5.18,3.18
40891,0.5,Fair,E,SI1,65.0,58.0,1176,4.98,4.9,3.21
1712,0.32,Premium,G,VS2,60.5,58.0,561,4.41,4.42,2.67
2880,0.92,Good,D,SI2,57.8,63.0,3277,6.4,6.36,3.69
5109,0.72,Ideal,F,VS1,61.7,56.0,3759,5.75,5.78,3.56
50237,0.62,Premium,H,VVS1,61.9,58.0,2232,5.49,5.46,3.39
30467,0.31,Ideal,D,SI1,61.1,56.0,732,4.38,4.36,2.67
36444,0.31,Ideal,D,VS2,62.1,56.0,942,4.35,4.34,2.7
18026,1.5,Premium,H,SI2,62.3,59.0,7291,7.27,7.21,4.52
21927,2.0,Good,G,SI2,64.2,60.0,9999,7.89,7.81,5.04
51324,0.31,Very Good,G,VS2,62.9,56.0,544,4.28,4.34,2.71
10845,1.16,Premium,I,SI1,60.0,58.0,4872,6.82,6.78,4.08
30918,0.34,Ideal,E,VS2,62.1,54.0,745,4.5,4.52,2.8
17373,0.32,Good,D,SI2,63.9,58.0,612,4.33,4.31,2.76
4763,0.9,Fair,D,SI1,64.5,61.0,3689,6.05,6.01,3.89
10366,1.01,Ideal,H,SI1,62.9,55.0,4773,6.35,6.4,4.01
10202,0.9,Very Good,H,VVS2,62.4,58.0,4740,6.12,6.15,3.83
52337,0.72,Good,H,VS2,61.8,61.0,2497,5.68,5.75,3.53
36071,0.4,Ideal,D,SI1,63.0,57.0,924,4.7,4.66,2.95
8360,1.01,Premium,E,SI1,62.4,58.0,4399,6.37,6.42,3.99
12725,0.9,Premium,E,VS2,62.6,60.0,5312,6.15,6.08,3.83
29469,0.32,Very Good,E,VS2,62.9,56.0,702,4.36,4.39,2.75
15852,1.04,Ideal,G,VS2,62.0,57.0,6342,6.49,6.5,4.03
9927,1.01,Good,E,SI1,63.3,57.0,4692,6.33,6.37,4.02
39900,0.42,Ideal,D,VS2,61.2,56.0,1103,4.84,4.8,2.95
44887,0.5,Very Good,E,VS2,60.0,63.0,1629,5.12,5.08,3.06
25362,0.28,Very Good,F,VVS1,60.1,59.0,642,4.24,4.25,2.55
1147,0.72,Very Good,E,VS2,63.0,57.0,2923,5.69,5.73,3.6
17005,1.53,Premium,G,SI2,58.5,59.0,6788,7.52,7.49,4.39
22696,0.31,Ideal,H,VVS2,62.3,54.0,630,4.36,4.38,2.72
20799,1.6,Premium,J,VS1,61.3,59.0,9032,7.52,7.49,4.6
25643,2.15,Ideal,I,SI1,62.5,57.0,14534,8.2,8.16,5.11
31439,0.33,Good,F,VVS1,63.3,57.0,764,4.38,4.44,2.79
24575,1.51,Premium,G,VS2,62.7,58.0,12872,7.31,7.2,4.55
3325,0.74,Ideal,E,VS2,61.7,56.0,3374,5.81,5.86,3.6
11916,1.07,Premium,H,SI1,60.4,59.0,5123,6.65,6.62,4.01
51050,0.75,Premium,H,SI1,60.7,62.0,2331,5.87,5.82,3.55
34270,0.32,Ideal,I,VS2,61.5,54.0,466,4.43,4.45,2.73
1195,0.75,Ideal,F,VS2,62.3,57.0,2933,5.81,5.87,3.64
20699,1.5,Very Good,I,VS2,60.1,60.0,8974,7.38,7.35,4.43
32121,0.42,Very Good,D,SI1,62.3,58.0,784,4.8,4.83,3.0
1432,0.77,Ideal,D,SI2,60.6,56.0,2973,5.9,5.95,3.59
40825,0.39,Ideal,D,VS1,60.3,56.0,1170,4.77,4.71,2.86
4878,0.73,Ideal,E,VVS2,62.0,57.0,3714,5.79,5.73,3.57
8094,1.02,Very Good,H,SI2,62.6,57.0,4341,6.42,6.46,4.03
45256,0.52,Good,E,VS2,61.5,61.0,1660,5.16,5.09,3.15
11873,1.2,Ideal,I,SI1,62.5,57.0,5107,6.77,6.71,4.21
48512,0.54,Ideal,H,VVS2,60.9,57.0,1983,5.26,5.22,3.19
37695,0.41,Premium,J,VVS1,60.1,58.0,994,4.83,4.79,2.89
27508,1.09,Very Good,D,IF,61.7,58.0,18231,6.55,6.65,4.07
22697,0.3,Premium,G,VS2,59.3,59.0,630,4.42,4.38,2.61
35899,0.32,Ideal,G,IF,62.1,55.0,918,4.4,4.46,2.75
3507,0.76,Ideal,E,SI1,61.2,56.0,3401,5.88,5.91,3.61
32734,0.31,Good,F,VS2,63.9,56.0,802,4.32,4.29,2.75
2000,0.72,Ideal,D,VS2,61.8,57.0,3099,5.76,5.73,3.55
39964,0.59,Premium,H,SI1,62.2,59.0,1106,5.38,5.32,3.33
33263,0.3,Ideal,E,VVS1,59.5,60.0,826,4.36,4.38,2.6
32639,0.32,Ideal,G,SI2,61.6,56.0,459,4.4,4.43,2.72
24387,0.41,Good,E,SI2,63.8,57.0,638,4.68,4.75,3.01
5926,0.92,Premium,E,SI2,62.1,58.0,3941,6.22,6.18,3.85
48341,0.71,Good,G,SI2,63.8,56.0,1960,5.65,5.6,3.59
40153,0.35,Premium,E,VVS1,61.0,58.0,1116,4.56,4.52,2.77
3123,0.78,Ideal,G,VS2,62.6,57.0,3325,5.87,5.91,3.69
16367,0.33,Very Good,D,SI1,60.0,59.0,608,4.47,4.5,2.69
18201,1.52,Ideal,H,SI2,62.3,56.0,7388,7.34,7.24,4.54
24803,2.1,Ideal,I,SI1,61.7,55.0,13182,8.21,8.13,5.04
16947,0.97,Premium,F,VVS2,58.1,60.0,6768,6.53,6.49,3.78
21761,1.5,Very Good,I,VVS2,63.3,58.0,9828,7.24,7.21,4.57
718,0.8,Ideal,G,SI2,61.6,56.0,2856,5.97,6.01,3.69
19152,1.21,Good,F,VS2,63.7,58.0,7911,6.67,6.71,4.26
29166,0.38,Ideal,F,VS2,61.2,57.0,693,4.64,4.67,2.85
33972,0.27,Ideal,E,VVS1,61.7,57.0,846,4.16,4.14,2.56
16911,1.07,Very Good,H,VVS2,61.3,56.0,6751,6.54,6.59,4.03
46257,0.54,Ideal,E,VS2,60.8,57.0,1754,5.24,5.29,3.2
37900,0.41,Ideal,G,VVS2,62.5,55.0,1007,4.75,4.76,2.97
7958,1.0,Very Good,E,SI2,59.8,58.0,4321,6.47,6.53,3.89
21807,1.5,Good,H,VS1,63.8,61.0,9878,7.17,7.12,4.56
27541,2.24,Ideal,I,SI1,60.5,59.0,18299,8.45,8.5,5.13
30729,0.34,Very Good,F,VS1,61.1,57.0,739,4.51,4.54,2.76
26217,2.15,Ideal,J,VS1,60.9,55.0,15613,8.35,8.39,5.1
43923,0.28,Very Good,D,VS1,62.4,56.0,514,4.15,4.18,2.6
12038,0.4,Very Good,I,SI1,59.8,57.0,596,4.8,4.83,2.88
26831,2.01,Premium,H,SI1,60.6,62.0,16733,8.08,8.05,4.89
40687,0.46,Premium,E,VS2,61.3,57.0,1156,5.02,4.99,3.07
48631,0.3,Fair,D,SI2,64.6,54.0,536,4.29,4.25,2.76
32825,0.34,Premium,E,VS1,59.9,58.0,805,4.54,4.58,2.73
17781,1.32,Ideal,I,SI1,62.0,57.0,7162,6.99,7.04,4.35
43010,0.54,Premium,F,SI1,59.7,59.0,1369,5.36,5.3,3.18
46408,0.52,Very Good,E,VS1,59.6,58.0,1767,5.21,5.26,3.12
1476,1.0,Premium,G,I1,62.5,62.0,2984,6.42,6.35,3.99
28837,0.41,Very Good,H,SI1,62.9,58.0,683,4.72,4.73,2.97
17521,1.04,Good,G,VS1,63.8,57.0,7049,6.4,6.43,4.09
31052,0.3,Ideal,F,VVS2,61.6,55.0,751,4.3,4.33,2.66
51121,0.57,Ideal,F,VVS2,62.1,56.0,2339,5.31,5.35,3.31
28712,0.23,Premium,E,VVS2,61.8,58.0,680,3.94,3.92,2.43
52523,0.58,Ideal,G,IF,61.3,56.0,2528,5.36,5.39,3.29
7364,1.0,Good,D,SI2,63.5,59.0,4218,6.32,6.35,4.02
3484,0.9,Good,H,SI1,63.2,61.0,3398,6.12,6.03,3.84
3822,0.9,Good,F,SI2,57.9,62.0,3470,6.23,6.35,3.64
44590,0.54,Ideal,D,SI1,62.1,55.0,1607,5.18,5.23,3.23
2516,0.7,Ideal,E,VS2,60.5,59.0,3201,5.72,5.75,3.47
29612,0.27,Very Good,G,VS2,61.5,57.0,439,4.18,4.22,2.58
46377,0.51,Very Good,G,VVS2,62.2,56.0,1762,5.1,5.13,3.18
50756,0.7,Ideal,H,SI2,61.8,57.0,2298,5.67,5.72,3.52
18778,1.02,Very Good,D,VS2,63.2,58.0,7677,6.4,6.36,4.03
20458,1.24,Ideal,G,VS2,62.3,57.0,8799,6.95,6.89,4.31
24568,2.03,Premium,J,SI1,62.1,59.0,12862,8.06,8.12,5.02
35855,0.32,Ideal,E,VVS1,62.3,54.0,917,4.37,4.4,2.73
49765,0.53,Ideal,F,VVS2,60.8,56.0,2160,5.22,5.24,3.18
39435,0.41,Ideal,D,VS2,61.9,56.0,1076,4.8,4.77,2.96
39188,0.5,Premium,E,SI2,59.7,59.0,1063,5.18,5.11,3.07
8643,1.0,Ideal,F,SI2,61.2,57.0,4452,6.48,6.39,3.94
33487,0.32,Premium,F,VS2,61.7,58.0,828,4.41,4.38,2.71
21846,2.04,Premium,G,I1,62.4,58.0,9905,8.17,8.08,5.07
25108,2.02,Premium,I,SI2,61.4,57.0,13642,8.18,8.08,4.99
40946,0.31,Very Good,F,VS2,62.7,57.0,500,4.31,4.36,2.72
6947,0.96,Very Good,F,SI2,60.9,57.0,4142,6.38,6.42,3.9
22634,1.21,Ideal,G,VS1,61.6,57.0,10685,6.85,6.87,4.22
33495,0.32,Premium,F,VS2,62.1,59.0,828,4.41,4.35,2.72
1391,0.24,Ideal,G,VVS1,62.0,55.0,559,4.01,4.03,2.49
49373,0.81,Ideal,J,SI2,62.2,57.0,2100,5.95,5.92,3.69
13648,1.22,Ideal,J,SI1,60.6,56.0,5586,6.96,6.95,4.22
5588,1.19,Ideal,H,I1,60.3,57.0,3864,6.93,6.83,4.15
47138,0.58,Ideal,G,VS1,60.1,55.0,1830,5.44,5.4,3.26
19443,1.06,Ideal,G,VS1,61.3,57.0,8093,6.53,6.56,4.01
32000,0.3,Ideal,F,VVS1,61.9,57.0,776,4.3,4.32,2.67
8924,1.0,Good,I,SI1,61.0,60.0,4496,6.36,6.39,3.89
11422,1.07,Ideal,I,SI1,61.7,56.1,5002,6.57,6.59,4.06
7845,0.77,Very Good,F,VVS1,61.1,57.0,4304,5.91,5.94,3.62
52293,0.25,Very Good,D,VVS2,62.0,61.0,548,3.99,4.04,2.49
20303,1.01,Fair,D,VVS2,65.4,57.0,8716,6.2,6.16,4.04
44381,0.5,Premium,E,VS2,60.5,60.0,1581,5.09,5.13,3.09
46725,0.58,Premium,E,SI1,61.6,59.0,1794,5.38,5.33,3.3
5275,0.73,Ideal,F,VS1,61.4,55.0,3797,5.8,5.83,3.57
21262,1.01,Premium,F,VVS1,62.8,58.0,9412,6.39,6.35,4.0
41315,0.45,Ideal,G,VVS2,61.2,56.0,1213,4.96,4.91,3.02
41434,0.41,Good,E,VVS1,64.1,55.0,1228,4.68,4.71,3.01
43783,0.57,Ideal,G,SI1,62.1,55.0,1441,5.32,5.34,3.31
42713,0.56,Ideal,G,SI1,62.5,56.0,1340,5.21,5.28,3.28
10569,1.0,Premium,D,SI2,62.4,58.0,4816,6.36,6.33,3.96
8496,0.92,Premium,F,SI1,62.1,60.0,4420,6.22,6.21,3.86
10764,1.01,Premium,E,SI1,62.0,58.0,4853,6.41,6.37,3.96
21688,1.09,Ideal,F,VS1,61.6,55.0,9786,6.62,6.67,4.09
46139,0.5,Ideal,E,VS1,62.7,57.0,1745,5.04,5.11,3.18
39358,0.44,Premium,E,VS2,62.3,59.0,1073,4.91,4.81,3.03
12298,1.21,Ideal,I,SI1,62.4,55.0,5218,6.81,6.78,4.24
27284,2.03,Very Good,G,SI2,62.7,55.0,17752,8.07,8.14,5.08
44170,0.53,Ideal,F,VS2,62.3,55.0,1566,5.17,5.2,3.23
13859,1.2,Premium,I,VS2,62.6,61.0,5645,6.76,6.68,4.21
5941,0.9,Good,E,SI1,62.6,62.0,3945,6.15,6.18,3.86
33962,0.4,Very Good,D,VS2,63.3,58.0,845,4.63,4.66,2.94
35968,0.3,Ideal,G,SI1,61.8,56.0,477,4.34,4.37,2.69
6766,1.3,Very Good,J,VS2,63.3,57.0,4106,6.98,6.96,4.41
43703,0.51,Very Good,H,VS2,61.4,55.8,1436,5.14,5.19,3.17
11862,1.03,Ideal,D,SI2,61.8,54.0,5105,6.52,6.46,4.01
27224,2.02,Premium,G,SI1,61.8,58.0,17579,8.16,8.1,4.94
40707,0.52,Ideal,D,SI2,61.0,56.0,1158,5.17,5.22,3.17
31343,0.27,Very Good,E,IF,59.7,56.0,760,4.26,4.28,2.55
14661,1.05,Very Good,G,VS2,61.7,55.0,5917,6.5,6.56,4.03
26359,0.32,Very Good,H,VVS2,62.1,58.0,645,4.34,4.39,2.71
25460,1.55,Ideal,F,SI1,61.9,55.0,14220,7.47,7.42,4.61
3718,0.91,Premium,H,SI2,60.9,61.0,3453,6.24,6.18,3.78
20709,0.31,Premium,H,VVS2,62.6,60.0,625,4.29,4.33,2.7
14862,1.01,Good,D,VS2,60.1,64.0,5986,6.36,6.32,3.81
3318,0.87,Ideal,H,VS2,62.3,57.0,3372,6.08,6.12,3.8
31596,0.2,Ideal,E,VS2,59.7,55.0,367,3.86,3.84,2.3
27895,0.32,Ideal,I,IF,61.7,55.0,655,4.4,4.42,2.72
31612,0.23,Fair,G,VVS2,61.4,66.0,369,3.87,3.91,2.39
44843,0.56,Ideal,H,VS2,61.3,56.0,1625,5.32,5.27,3.25
12431,1.0,Premium,G,VS2,62.3,58.0,5242,6.35,6.29,3.94
17471,1.05,Very Good,G,VS1,62.3,56.0,7010,6.45,6.51,4.04
25191,2.17,Very Good,J,SI2,60.8,59.0,13782,8.37,8.41,5.1
37435,0.33,Ideal,E,VVS1,61.7,56.0,984,4.46,4.48,2.76
5222,1.01,Premium,H,SI2,62.3,60.0,3782,6.39,6.32,3.96
8451,1.06,Very Good,J,VS2,62.6,59.0,4413,6.49,6.57,4.09
28312,0.3,Good,H,SI1,63.3,56.0,432,4.27,4.29,2.71
30373,0.36,Premium,H,VS2,60.9,59.0,729,4.62,4.58,2.8
42842,0.41,Ideal,F,VVS1,62.1,57.0,1356,4.79,4.75,2.96
7164,0.93,Premium,F,SI1,61.1,59.0,4182,6.32,6.29,3.85
50010,0.51,Good,F,VVS2,62.4,63.0,2195,5.05,5.08,3.16
17823,1.52,Fair,J,VS1,65.4,58.0,7186,7.22,7.17,4.7
23365,0.31,Ideal,J,VS1,61.2,55.0,424,4.37,4.39,2.68
53596,1.22,Premium,G,I1,59.2,60.0,2699,6.97,6.9,4.1
17430,1.5,Very Good,J,SI1,62.5,58.0,6987,7.24,7.29,4.54
40608,0.23,Ideal,F,VS2,61.5,55.0,498,3.93,3.97,2.43
32923,0.44,Ideal,E,SI1,62.6,56.0,810,4.84,4.9,3.05
18177,1.13,Ideal,F,VS2,62.1,56.0,7369,6.65,6.71,4.15
36948,0.32,Ideal,H,SI1,61.0,56.0,479,4.4,4.42,2.69
52695,0.71,Very Good,F,SI1,62.4,58.0,2553,5.64,5.68,3.53
47314,0.23,Very Good,E,VVS2,59.4,59.0,530,4.03,4.08,2.41
14136,1.09,Ideal,H,VS2,61.5,54.0,5732,6.64,6.65,4.09
31423,0.4,Ideal,F,SI2,61.5,56.0,764,4.75,4.78,2.93
22648,1.51,Premium,F,SI1,62.2,58.0,10693,7.27,7.29,4.53
45956,0.54,Ideal,H,VVS1,61.2,57.0,1723,5.21,5.25,3.2
6599,1.0,Very Good,F,SI2,62.8,57.0,4081,6.37,6.44,4.02
40800,0.43,Ideal,F,VVS2,61.9,56.0,1169,4.82,4.87,3.0
6944,0.91,Very Good,F,SI1,62.0,59.0,4141,6.2,6.22,3.85
30817,0.33,Ideal,G,VS2,62.8,54.0,743,4.42,4.4,2.77
23613,2.33,Premium,J,SI1,61.1,58.0,11638,8.6,8.56,5.24
14077,1.2,Ideal,H,SI2,61.6,57.0,5712,6.84,6.79,4.2
17251,1.01,Very Good,G,VS1,63.6,57.0,6905,6.3,6.35,4.02
34322,0.36,Premium,E,VVS2,61.7,59.0,859,4.52,4.56,2.8
2022,0.9,Very Good,H,SI2,59.5,63.0,3105,6.31,6.26,3.74
37234,0.4,Ideal,E,VS2,62.4,55.0,975,4.74,4.71,2.95
40636,0.41,Premium,E,VS1,62.0,60.0,1153,4.78,4.74,2.95
36943,0.26,Ideal,H,VVS2,61.8,55.7,478,4.08,4.1,2.53
32689,0.31,Very Good,G,VS1,63.3,56.0,802,4.33,4.29,2.73
51789,0.7,Fair,H,VS1,65.8,56.0,2415,5.54,5.49,3.63
15870,1.0,Ideal,G,VS1,62.2,56.0,6349,6.35,6.41,3.97
16902,1.21,Good,H,VS1,63.3,58.0,6748,6.72,6.77,4.27
3120,0.7,Ideal,H,VVS2,61.8,55.0,3325,5.69,5.74,3.53
37095,0.41,Very Good,E,SI1,63.3,57.0,969,4.75,4.73,3.0
